Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GRPC - Large Object - 1,101,6,3,47,5.23,0.000%,1.32940,0.16,0.18,121.0
GRPC - Large Object - 100,101,10,2,160,15.90,0.000%,1.17644,0.14,0.17,121.0
GRPC - Large Object - 1000,101,25,11,59,5.28,0.000%,1.05457,0.12,0.15,121.0
GRPC - Large Object - 100000,2,868,739,998,129.50,0.000%,.02074,0.00,0.00,121.0
PROTO - Large Object - 1,101,5,2,21,2.22,0.000%,7.84527,0.93,1.08,121.0
PROTO - Large Object - 100,101,8,2,124,11.77,0.000%,4.43352,0.52,0.62,121.0
PROTO - Large Object - 1000,101,18,5,41,4.01,0.000%,3.08850,0.36,0.43,121.0
PROTO - Large Object - 100000,2,685,530,841,155.50,0.000%,.06019,0.01,0.01,121.0
REST - Large Object - 1,101,4,2,6,0.83,0.000%,2.38805,0.28,0.34,121.0
REST - Large Object - 100,101,9,3,45,4.28,0.000%,1.93461,0.23,0.28,121.0
REST - Large Object - 1000,101,33,15,48,7.30,0.000%,1.62507,0.19,0.24,121.0
REST - Large Object - 100000,2,1972,1940,2004,32.00,0.000%,.03121,0.00,0.00,121.0
TOTAL,915,21,2,2004,105.58,0.000%,9.47666,1.12,1.34,121.0
